# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.665789,0.258711,0.000000,-0.000000,-0.359052,0.183382,-0.025491,-0.001178,0.000412,0.071735,-0.000000,-0.000000,2.108940,-2.973306,1.646980,-0.419612,0.040871,0.407533,-0.000000,0.000000,0.215580,-0.289870,0.160369,-0.040933,0.003980,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.742075,-0.110603,0.392205,0.067451,-0.056516,-0.001346,0.002393,-0.000193,0.103559,-0.742232,-0.220673,0.702024,-0.660381,0.361634,-0.096420,0.009695,0.559459,0.057969,-0.012073,0.046095,-0.052782,0.027890,-0.007023,0.000682,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.666924,0.244147,-0.465983,-0.065304,0.052015,0.007233,-0.003876,0.000307,-0.136843,0.793766,0.114533,-0.035747,-0.200918,0.112021,-0.025067,0.002236,0.723014,0.060511,-0.001310,0.010458,-0.013658,0.007527,-0.001905,0.000182,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.727267,-0.223349,0.532602,0.078041,-0.059511,-0.007221,0.003825,-0.000263,0.193294,-0.927192,-0.183744,0.237403,-0.013409,0.005527,-0.005498,0.000773,0.887627,0.061723,-0.001440,0.000335,0.003138,-0.003238,0.001167,-0.000144,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,1.083909,0.375190,-0.595703,-0.085908,0.069304,-0.007143,0.004123,-0.000989,-0.253834,1.033747,0.209433,-0.230419,0.023506,-0.044635,0.024016,-0.003269,1.052114,0.062876,-0.000744,-0.008229,0.015062,-0.010156,0.003011,-0.000330,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.704533,-0.337614,0.647322,-0.039858,0.040909,-0.065693,0.020497,-0.002017,0.294892,-1.064094,-0.135391,0.169947,0.103095,-0.066910,0.013162,-0.000975,1.216689,0.063153,-0.000758,-0.012064,0.021980,-0.014861,0.004413,-0.000484,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.888542,0.264657,-0.548355,-0.071595,0.085013,-0.005952,-0.002196,0.000273,-0.294621,0.937273,0.158818,-0.221622,-0.018115,0.023853,-0.003688,0.000184,1.381211,0.063803,-0.000691,-0.017239,0.030613,-0.020538,0.006078,-0.000665,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.693940,-0.333845,0.485113,0.062794,-0.101678,0.035702,-0.009722,0.001262,0.282788,-0.807738,-0.141334,0.207836,-0.043186,0.031777,-0.015159,0.002105,1.545754,0.064777,-0.000492,-0.023281,0.039235,-0.025608,0.007459,-0.000809,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,0.442716,0.218194,-0.382132,0.062372,-0.214532,0.210983,-0.072896,0.008777,-0.266768,0.664936,0.167790,-0.016916,-0.372477,0.301116,-0.097399,0.011571,1.710491,0.064655,-0.002755,-0.029208,0.060727,-0.045078,0.014470,-0.001698,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.665789,-0.704392,-0.304556,0.531588,0.662393,-1.138724,0.643615,-0.163626,0.015838,0.220295,-0.598548,0.125818,0.959069,-1.178391,0.592935,-0.139917,0.012766,1.876634,0.068931,-0.026049,-0.104081,0.147621,-0.081756,0.020930,-0.002053,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
