# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.042857,-0.248606,-0.000000,0.000000,0.994200,-0.997066,0.370262,-0.061125,0.003806,-0.340473,-0.000000,-0.000000,0.207446,-0.012481,-0.046053,0.013620,-0.001122,0.400488,0.000000,0.000000,-0.024777,0.039198,-0.018166,0.003499,-0.000245,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.731810,0.007057,0.324178,0.192708,-0.151107,0.024304,-0.000103,-0.000156,-0.037060,-0.667151,-0.003042,-0.010117,0.176257,-0.081590,0.013676,-0.000819,0.568095,0.066361,0.003777,-0.026818,0.028340,-0.012157,0.002333,-0.000166,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.002862,-0.842262,-0.054770,0.123944,0.135056,-0.079940,0.014704,-0.000946,0.776179,0.016595,-0.520199,-0.076078,0.115159,-0.018697,0.000134,0.000089,0.817432,0.068640,0.001236,-0.027245,0.029591,-0.012663,0.002417,-0.000171,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,1.144739,0.091837,-0.657011,-0.167716,0.232669,-0.059792,0.006299,-0.000261,0.030495,1.115275,0.038612,-0.265586,-0.040601,0.048640,-0.008992,0.000514,1.068611,0.069040,0.000089,-0.027908,0.030589,-0.013081,0.002496,-0.000177,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,0.162072,1.013490,-0.073321,-0.298319,0.086206,-0.011596,0.002210,-0.000241,-0.887282,0.074781,0.595163,-0.052390,-0.047706,-0.003275,0.004161,-0.000429,1.318573,0.070364,-0.001113,-0.030291,0.033711,-0.014400,0.002733,-0.000193,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.750487,0.044275,0.489679,-0.132404,0.049530,-0.038807,0.010214,-0.000838,-0.011808,-0.825514,0.052694,0.125262,0.074074,-0.057615,0.011875,-0.000829,1.567141,0.070596,0.002023,-0.029100,0.027795,-0.010660,0.001842,-0.000119,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.042857,-0.197094,-0.664920,0.015785,-0.013170,0.281624,-0.163380,0.033808,-0.002425,0.564746,-0.029008,-0.456281,-0.153028,0.438190,-0.210180,0.040533,-0.002831,1.815348,0.063766,0.010509,-0.001414,-0.016094,0.008914,-0.001788,0.000126,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
2.420000,0.150089,-0.000000,-0.000000,-0.000165,0.000120,-0.000004,-0.000015,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.902785,-0.000000,0.000000,-3.114992,4.799468,-2.916511,0.809373,-0.085512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.150003,-0.000021,-0.000084,0.000035,0.000504,-0.000672,0.000293,-0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.299693,0.044724,0.032371,-0.691790,1.276813,-0.913095,0.281619,-0.031538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.149925,0.000456,0.000284,-0.001715,0.001252,-0.000128,-0.000117,0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.033913,-0.250777,0.379170,0.160131,-0.739409,0.594485,-0.195463,0.023369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.150071,-0.000375,-0.000503,0.001382,-0.000295,-0.000562,0.000317,-0.000047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.997968,-0.055855,-0.012687,0.466532,-0.488596,0.183330,-0.023843,0.000056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420000,0.149895,0.000207,0.000710,-0.000952,-0.000430,0.000958,-0.000415,0.000057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.097467,0.024994,0.020152,-0.217212,0.323095,-0.202872,0.058752,-0.006466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.249920,-0.000000,-0.000000,-1.005558,1.076289,-0.456366,0.093632,-0.007985,0.029762,-0.000000,-0.000000,1.275406,-2.196688,1.404631,-0.400686,0.043178,1.100107,0.000000,0.000000,-0.004017,0.008513,-0.006603,0.002217,-0.000272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.053985,0.481954,0.121107,-0.339775,-0.047339,0.111326,-0.030054,0.002400,-0.142556,-0.092117,0.223958,0.421818,-0.646339,0.344202,-0.088909,0.009379,1.099971,0.000758,0.000505,-0.005574,0.006936,-0.003346,0.000662,-0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.244469,-0.113202,0.483126,0.100896,-0.254109,0.073462,-0.005263,0.000188,0.034293,-0.298768,-0.066225,0.341569,-0.344277,0.302086,-0.138152,0.021692,1.099867,-0.000845,0.001324,0.005661,-0.011716,0.007854,-0.002183,0.000214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.162152,-0.182672,0.262476,0.647589,-0.518765,-0.088959,0.123065,-0.021140,-0.157890,-0.620189,-0.258990,1.371491,-0.459885,-0.202666,0.122684,-0.016398,1.101283,0.001546,-0.005737,-0.009625,0.027503,-0.021435,0.007008,-0.000837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.279407,-0.669134,0.593543,0.057439,0.407501,-0.481498,0.163277,-0.018217,0.354504,-0.526005,-0.663102,0.167935,0.512658,-0.283285,0.048314,-0.002191,1.099942,0.001111,0.000614,-0.013764,0.025084,-0.018304,0.005973,-0.000724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.359476,-0.520220,-0.681184,0.226846,0.418350,-0.219336,0.028916,0.000009,0.268379,0.706875,-0.507478,-0.421393,0.033385,0.238378,-0.100483,0.012066,1.100005,0.002051,0.000520,-0.015521,0.021896,-0.011790,0.002668,-0.000199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.262700,0.713126,-0.495339,-0.394333,-0.048754,0.309130,-0.126694,0.015642,-0.367295,0.502333,0.738804,-0.141813,-0.753723,0.542065,-0.154655,0.017425,1.099325,-0.001216,0.009221,0.021091,-0.081276,0.079846,-0.031700,0.004475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.374130,0.489512,0.818252,0.070550,-1.728206,1.473548,-0.469734,0.052653,-0.267954,-0.747803,0.743617,1.294496,-3.311906,2.414142,-0.733292,0.081173,1.096748,-0.001715,0.090131,0.262054,-1.194960,1.061655,-0.363968,0.044012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.861680,0.539861,-0.414178,-0.400908,0.552341,-0.334195,0.099136,-0.011233,-0.447076,0.781681,0.135176,0.024484,-0.152500,0.073042,-0.016674,0.001640,0.754837,-0.012497,-0.106326,0.375453,-0.458904,0.264048,-0.072789,0.007759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.255230,-0.938890,0.141158,0.027041,0.171312,-0.121998,0.034251,-0.003702,0.870303,-0.227206,-0.418030,0.060164,-0.009462,0.027271,-0.009814,0.001074,0.750880,-0.004347,-0.012772,0.058655,-0.073967,0.042045,-0.011256,0.001155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.511565,0.847936,0.250610,-0.180834,0.050530,-0.039180,0.014242,-0.001693,-0.772996,-0.451643,0.367655,0.073901,-0.018823,-0.015788,0.005851,-0.000649,0.750338,0.000398,-0.004380,-0.000688,0.013586,-0.013973,0.005361,-0.000717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.970900,-0.232566,-0.465180,0.019284,0.063828,-0.018319,0.003567,-0.000427,0.214553,0.859726,-0.102268,-0.151051,0.026735,-0.003851,0.002328,-0.000349,0.750196,0.002582,-0.002213,-0.024582,0.051322,-0.038996,0.012977,-0.001594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,-0.851183,-0.515239,0.406589,0.068857,0.033011,-0.081848,0.037171,-0.005790,0.472068,-0.752477,-0.225731,0.122042,0.017024,-0.010077,0.003434,-0.000760,0.750191,0.003369,-0.003030,-0.039387,0.089224,-0.073173,0.026097,-0.003413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.224856,0.894474,-0.436130,-0.758001,0.561900,-0.009623,-0.056133,0.009245,-0.878239,0.161826,0.291731,-0.222530,0.748809,-0.752903,0.277635,-0.035031,0.751761,0.006049,-0.034968,-0.139925,0.003081,0.020355,0.003986,-0.001904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392000,0.764010,0.730082,-0.265196,-0.704942,0.386866,-0.035702,-0.006353,0.000467,-0.002928,0.004533,0.086011,-0.279950,0.336259,-0.192346,0.052894,-0.005631,0.239587,0.314136,0.679299,-0.036019,-0.509863,0.244404,-0.037733,0.001503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
